1	65	37	-8	0
2	194	60	-4	-8
3	445	84	-4	-8
4	506	79	-4	-8
5	727	109	-4	-8
6	928	128	-4	-8
7	976	128	-4	-8
8	1153	122	-4	-8
9	1553	159	-4	-8
10	1646	162	-4	-8
11	2076	117	-3	-12
12	2178	127	-3	-12
13	2267	147	-3	-12
14	2538	183	-3	-12
15	2825	216	-3	-12
16	3078	253	-3	-12
17	3303	278	-3	-12
18	3618	316	-3	-12
19	3688	318	-3	-12
20	3917	333	-3	-12
21	4226	368	-3	-12
22	4465	396	-3	-12
23	4556	399	-3	-12
24	5007	445	-3	-12
25	5276	478	-3	-12
26	5411	485	-3	-12
27	6000	556	-3	-12
28	6050	556	-3	-12
29	6313	583	-3	-12
30	6616	615	-3	-12
31	6695	618	-3	-12
32	7113	663	-3	-12
33	7682	757	-3	-12
34	7931	790	-3	-12
35	8248	826	-3	-12
36	8738	871	-3	-12
37	9015	895	-3	-12
38	9332	947	-3	-12
39	9711	983	-3	-12
40	10227	1042	-3	-12
41	10280	1047	-3	-12
42	10704	1088	-3	-12
43	11257	1162	-3	-12
44	11398	1171	-3	-12
45	11947	1236	-3	-12
46	12344	1250	-3	-12
47	12395	1253	-3	-12
48	12471	1255	-3	-12
49	13051	1314	-3	-12
50	13326	1341	-3	-12
51	13753	1375	-3	-12
52	14207	1412	-3	-12
53	14324	1415	-3	-12
54	14437	1420	-3	-12
55	14858	1473	-3	-12
56	15270	1514	-3	-12
57	15863	1571	-3	-12
58	16460	1633	-3	-12
59	16507	1633	-3	-12
60	16830	1668	-3	-12
61	17111	1698	-3	-12
62	17406	1740	-3	-12
63	17989	1792	-3	-12
64	18500	1844	-3	-12
65	18900	1864	-3	-12
66	19413	1930	-3	-12
67	19550	1932	-3	-12
68	19929	1939	-3	-12
69	19985	1940	-3	-12
70	20427	1992	-3	-12
71	20636	2018	-3	-12
72	20712	2022	-3	-12
73	21241	2085	-3	-12
74	21494	2096	-3	-12
75	21903	1962	-3	-12
76	22236	1998	-3	-12
77	22798	2043	-3	-12
78	22868	2045	-3	-12
79	23358	2077	-3	-12
80	23734	2106	-3	-12
81	23987	2127	-3	-12
82	24280	2155	-3	-12
83	24321	2156	-3	-12
84	24624	2187	-3	-12
85	25285	2223	-3	-12
86	25703	2276	-3	-12
87	26594	2343	-3	-12
88	26723	2360	-3	-12
89	26934	2365	-3	-12
90	26979	2370	-3	-12
91	27274	2399	-3	-12
92	27689	2435	-3	-12
93	27927	2440	-3	-12
94	28050	2440	-3	-12
95	28513	2514	-3	-12
96	29098	2570	-3	-12
97	29552	2603	-3	-12
98	29976	2647	-3	-12
99	30613	2710	-3	-12
100	30689	2721	-3	-12
101	30789	2722	-3	-12
102	31112	2752	-3	-12
103	31554	2796	-3	-12
104	32071	2886	-3	-12
105	32669	2936	-3	-12
106	33048	2842	-3	-12
107	33445	2880	-3	-12
108	33772	2919	-3	-12
109	34573	3018	-3	-12
110	35022	3058	-3	-12
111	35731	3142	-3	-12
112	35966	3159	-3	-12
113	36405	3197	-3	-12
114	36668	3226	-3	-12
115	36955	362	-2	-16
116	37238	305	-2	-16
117	37382	287	-2	-16
118	37851	346	-2	-16
119	38160	315	-2	-16
120	38423	309	-2	-16
121	39112	388	-2	-16
122	39177	394	-2	-16
123	39376	401	-2	-16
124	39689	389	-2	-16
125	39892	399	-2	-16
126	39991	399	-2	-16
127	40454	429	-2	-16
128	40609	443	-2	-16
129	41114	488	-2	-16
130	41419	519	-2	-16
131	41987	591	-2	-16
132	42474	640	-2	-16
133	42659	658	-2	-16
134	42836	687	-2	-16
135	43105	695	-2	-16
136	43264	709	-2	-16
137	43497	725	-2	-16
138	43812	754	-2	-16
139	44171	793	-2	-16
140	44272	797	-2	-16
141	44479	820	-2	-16
142	44838	833	-2	-16
143	44942	834	-2	-16
144	45537	879	-2	-16
145	45997	915	-2	-16
146	46112	915	-2	-16
147	46241	937	-2	-16
148	46550	971	-2	-16
149	47103	1008	-2	-16
150	47629	1063	-2	-16
151	47772	1070	-2	-16
152	48250	1101	-2	-16
153	48453	1113	-2	-16
154	48578	1120	-2	-16
155	49367	1185	-2	-16
156	49634	1209	-2	-16
157	49985	1244	-2	-16
158	50200	1268	-2	-16
159	50645	1297	-2	-16
160	51138	1329	-2	-16
161	51339	1336	-2	-16
162	51524	1361	-2	-16
163	52008	1423	-2	-16
164	52393	1465	-2	-16
165	52664	1471	-2	-16
166	52932	1482	-2	-16
167	53323	1533	-2	-16
168	53406	1535	-2	-16
169	53953	1647	-2	-16
170	54488	1730	-2	-16
171	54777	1757	-2	-16
172	55255	1807	-2	-16
173	55570	1843	-2	-16
174	56247	1897	-2	-16
175	56731	1958	-2	-16
176	57290	1998	-2	-16
177	57439	2007	-2	-16
