#
# Sum of counts of observations of disjuncts in each class.
# After 48 hour run of `merge-ortho`on `en_pairs_cfive_class`
# 2 June 2018
#
# first column: class-id
# second column: sum of counts of disjuncts in that class.
#
1 3240260.1999778454
2 2120385.6000048895
3 674655.2999992823
4 632257.8322482017
5 456531.5999978663
6 421928.4999989802
7 320771.7620160494
8 284793.6702650951
9 257511.9999996932
10 251878.49999960136
11 248886.99999980396
12 227820.09999975556
13 209675.39999993122
14 206397.2999998366
15 189623.29999992604
16 131503.0000001186
17 128682.60000009042
18 120761.10000004561
19 116975.00000007445
20 99377.40000009272
21 85395.60000008439
22 80169.70000002523
23 72246.00000007925
24 60760.40000006137
25 59654.10000001829
26 55321.60000004333
27 54071.200000012446
28 47783.10823346237
29 40667.900000001246
30 28685.399999990517
31 28495.39999997668
32 21778.799999994684
33 21507.69999999423
34 15110.031567104592
35 14852.399999997577
36 14105.299999999279
37 13573.799999998306
38 13404.8999999982
39 13155.999999997708
40 12400.599999998582
41 11417.099999999637
42 10724.099999998973
43 10540.999999999762
44 10320.399999999348
