1 199
2 113
3 97
4 70
5 60
6 55
7 37
8 32
9 31
10 31
11 29
12 29
13 28
14 25
15 24
16 24
17 22
18 20
19 19
20 18
21 18
22 17
23 17
24 16
25 16
26 15
27 15
28 15
29 15
30 15
31 13
32 12
33 11
34 11
35 11
36 11
37 11
38 10
39 10
40 10
41 10
42 9
43 9
44 9
45 9
46 8
47 8
48 8
49 7
50 7
51 7
52 7
53 7
54 6
55 6
56 6
57 6
58 6
59 6
60 6
61 6
62 6
63 5
64 5
65 5
66 5
67 5
68 4
69 4
70 4
71 4
72 4
73 4
74 4
75 4
76 4
77 3
78 3
79 3
80 3
81 3
82 3
83 3
84 3
85 3
86 3
87 3
88 3
89 3
90 3
91 3
92 3
93 3
94 2
95 2
96 2
97 2
98 2
99 2
100 2
101 2
102 2
103 2
104 2
105 2
106 2
107 2
108 2
109 2
110 2
111 2
112 2
113 2
114 2
115 2
116 2
117 2
118 2
119 2
120 2
121 2
122 2
123 2
124 2
125 2
