# 
# Number of disjuncts in each class.
# After 48 hour run of `merge-ortho`on `en_pairs_cfive_class`
# 2 June 2018
#
# first column: class-id
# second column: number of disjuncts in that class.
#
1 1687881
2 1238333
3 428579
4 365630
5 236755
6 220748
7 187504
8 186671
9 177556
10 174900
11 168939
12 150177
13 149426
14 122470
15 107099
16 93560
17 93229
18 73566
19 73533
20 72553
21 69706
22 69317
23 68779
24 67215
25 60375
26 51815
27 51777
28 45401
29 40986
30 33394
31 24470
32 24372
33 19056
34 16716
35 16468
36 15349
37 13832
38 13734
39 13136
40 12719
41 12572
42 7134
