AIR
ANVIL
BANNER STANDING
BANNER WALL_MOUNTED
BARRIER
BARS IRON
BED
BEDROCK
BOOKSHELF
BREWING_STAND
BRICKS CHISELED_STONE
BRICKS CLAY
BRICKS CRACKED_STONE
BRICKS MOSSY_STONE
BRICKS NETHERRACK
BRICKS PRISMARINE
BRICKS STONE
BUTTON STONE
CACTUS
CAKE
CARPET LIGHT_BLUE
CARPET LIGHT_GRAY
CARPET LIME
CARPET PINK
CARPET WHITE
CHEST
CHISELED_QUARTZ
CLAY BLACK
CLAY BLUE
CLAY BROWN
CLAY CYAN
CLAY GRAY
CLAY GREEN
CLAY LIGHT_BLUE
CLAY LIGHT_GRAY
CLAY LIME
CLAY MAGENTA
CLAY ORANGE
CLAY PINK
CLAY PURPLE
CLAY RED
CLAY UNSTAINED
CLAY WHITE
CLAY YELLOW
COARSE_DIRT
COBBLESTONE
COBWEB
CRAFTING_TABLE
DARK_PRISMARINE
DAYLIGHT_SENSOR INVERTED
DAYLIGHT_SENSOR STANDARD
DECOR_STONE ANDESITE POLISHED
DECOR_STONE ANDESITE RAW
DECOR_STONE DIORITE POLISHED
DECOR_STONE DIORITE RAW
DECOR_STONE GRANITE POLISHED
DECOR_STONE GRANITE RAW
DIRT
DISPENSER
DOOR IRON
DOOR WOOD ACACIA
DOOR WOOD BIRCH
DOOR WOOD OAK
DOUBLE_SLAB BRICKS CLAY
DOUBLE_SLAB BRICKS NETHERRACK
DOUBLE_SLAB BRICKS STONE
DOUBLE_SLAB COBBLESTONE
DOUBLE_SLAB QUARTZ
DOUBLE_SLAB SANDSTONE WHITE
DOUBLE_SLAB STONE
DOUBLE_SLAB WOOD ACACIA
DOUBLE_SLAB WOOD ACACIA
DOUBLE_SLAB WOOD BIRCH
DOUBLE_SLAB WOOD BIRCH
DOUBLE_SLAB WOOD OAK
FARMLAND
FENCE BRICKS NETHERRACK
FENCE GATE WOOD ACACIA
FENCE WOOD ACACIA
FENCE WOOD BIRCH
FENCE WOOD OAK
FENCE_GATE WOOD BIRCH
FIRE
FLOWER DANDELION
FLOWER LILAC
FLOWER OXEYE_DAISY
