0	0	-725.889	-701.222
1	1	-4490.33	-4527.89
2	2	-2356.89	-2313.56
3	3	-1671.67	-1634.56
4	4	-3412.48	-3361.37
5	5	-4416.2	-4358.87
6	6	-inf	-inf
7	7	-348.278	-336.056
8	8	-inf	-inf
9	9	-351.194	-338.972
10	10	-inf	-inf
11	11	-355.667	-343.444
12	12	-inf	-inf
13	13	-350.806	-340.528
14	14	-inf	-inf
15	15	-350.611	-338.389
16	16	-inf	-inf
17	17	-350.611	-338.389
18	18	-inf	-inf
19	19	-346.333	-334.111
20	20	-inf	-inf
21	21	-352.167	-339.944
22	22	-inf	-inf
23	23	-403.889	-391.667
24	24	-inf	-inf
25	25	-349.833	-337.611
26	26	-inf	-inf
27	27	-349.25	-337.028
28	28	-inf	-inf
29	29	-356.056	-343.833
30	30	-inf	-inf
31	31	-348.278	-336.056
32	32	-inf	-inf
33	33	-352.361	-340.139
34	34	-inf	-inf
35	35	-351.778	-339.556
36	36	-inf	-inf
37	37	-352.75	-340.528
38	38	-inf	-inf
39	39	-352.75	-340.528
40	40	-inf	-inf
41	41	-366.361	-354.139
42	42	-inf	-inf
43	43	-352.944	-345.389
44	44	-inf	-inf
45	45	-348.083	-335.861
46	46	-inf	-inf
47	47	-349.444	-337.222
48	48	-inf	-inf
49	49	-351.389	-339.167
50	50	-inf	-inf
51	51	-355.083	-344.222
52	52	-inf	-inf
53	53	-348.472	-336.25
54	54	-inf	-inf
55	55	-345.361	-333.139
56	56	-inf	-inf
57	57	-353.917	-341.694
58	58	-inf	-inf
59	59	-352.556	-340.333
60	60	-inf	-inf
61	61	-356.639	-344.417
62	62	-inf	-inf
63	63	-356.056	-345.778
64	64	-inf	-inf
65	65	-363.056	-351.028
66	66	-inf	-inf
67	67	-348.861	-336.639
68	68	-inf	-inf
69	69	-351.778	-339.75
70	70	-inf	-inf
71	71	-354.5	-342.278
72	72	-inf	-inf
73	73	-352.167	-339.944
74	74	-inf	-inf
75	75	-350.611	-338.389
76	76	-inf	-inf
77	77	-348.083	-335.861
78	78	-inf	-inf
79	79	-348.278	-336.056
80	80	-inf	-inf
81	81	-351.778	-339.556
82	82	-347.333	-335.111
83	83	-350.444	-338.222
84	84	-344.222	-332
85	85	-356.667	-344.444
86	86	-357.444	-345.222
87	87	-345	-332.778
88	88	-361.333	-346
89	89	-339.556	-330.444
90	90	-363.667	-351.444
91	91	-335.667	-323.444
92	92	-348.889	-336.667
93	93	-358.222	-346
94	94	-361.333	-349.111
95	95	-339.556	-327.333
96	96	-353.556	-341.333
97	97	-344.222	-332
98	98	-369.5	-357.278
99	99	-355.889	-343.667
100	100	-498.778	-486.556
101	101	-402.111	-389.889
102	102	-348.889	-336.667
103	103	-348.889	-336.667
104	104	-350.444	-338.222
105	105	-347.333	-335.111
106	106	-351.222	-339
107	107	-343.444	-331.222
108	108	-374.333	-362.111
109	109	-357	-344.778
110	110	-354.333	-342.111
111	111	-345	-332.778
112	112	-347.333	-335.111
113	113	-353.556	-341.333
114	114	-355.889	-343.667
115	115	-343.444	-331.222
116	116	-337.222	-325
117	117	-353.75	-341.528
118	118	-386.778	-374.556
119	119	-362.444	-350.222
120	120	-350.444	-338.222
121	121	-347.333	-335.111
122	122	-357.444	-345.222
123	123	-348.111	-335.889
126	128	-338.778	-326.556
127	129	-360.556	-348.333
128	130	-348.111	-335.889
129	131	-351.222	-339
130	132	-353.556	-341.333
131	133	-344.222	-332
132	134	-357.444	-343.667
133	135	-341.889	-331.222
134	136	-348.889	-336.667
135	137	-348.889	-336.667
136	138	-355.889	-343.667
137	139	-343.444	-331.222
138	140	-349.667	-337.444
139	141	-349.667	-337.444
140	142	-390.111	-377.889
141	143	-351.222	-339
142	144	-402.333	-390.111
143	145	-361.667	-349.444
144	146	-371.444	-359.222
145	147	-351.028	-338.806
146	148	-389.889	-377.667
147	149	-359.333	-347.111
148	150	-377.667	-359.222
149	151	-349.472	-338.806
150	152	-383.667	-377.667
151	153	-356.222	-347.111
152	154	-377.667	-363.889
153	155	-337.222	-326.556
154	156	-362.111	-349.889
155	157	-337.222	-325
156	158	-345.778	-332
157	159	-352	-341.333
158	160	-358.222	-346
159	161	-339.556	-327.333
160	162	-352	-339.778
161	163	-345.778	-333.556
162	164	-355.111	-342.889
163	165	-342.667	-330.444
164	166	-336.444	-324.222
165	167	-361.333	-349.111
166	168	-348.111	-335.889
167	169	-354.333	-342.111
168	170	-353.556	-341.333
169	171	-344.222	-332
170	172	-388.139	-372.806
171	173	-533	-533.222
172	174	-726.111	-701.444
173	175	-465.333	-446.889
174	176	-inf	-inf
175	177	-432.222	-424.667
176	178	-570.333	-570.333
177	179	-345.889	-333.667
