fs-0	5.89608e-06
fs-1	0.00547505
fs-2	0.0108605
fs-3	0.0202266
fs-4	5.89608e-06
fs-5	0.0202266
fs-6	0.0108605
fs-7	0.0271612
fs-8	0.0521799
fs-9	0.00552273
fs-10	0.0363764
fs-11	0.0321151
fs-12	0.00356103
fs-13	0.00356103
fs-14	5.89608e-06
fs-15	0.0012752
fs-16	5.89608e-06
fs-17	0.00356103
fs-18	0.00356103
fs-19	0.0271612
fs-20	0.00266667
fs-21	5.89608e-06
fs-22	0.0899109
fs-23	0.0271612
fs-24	0.0117704
fs-25	0.0012752
fs-26	0.0012752
fs-27	5.89608e-06
fs-28	0.0108605
fs-29	0.105366
fs-30	5.89608e-06
fs-31	0.000642293
fs-32	0.0153863
fs-33	0.0271612
fs-34	0.0040217
fs-35	1.22068e-05
fs-36	0.0374207
fs-37	5.89608e-06
