#
# fs_csv_t7.2 dataset
#
# First column: number of features in the featureset.
# Second column: mutual information of highest-ranked featureset
# (ranked by mutual information).
#
 1 	0.105366
 2 	0.182035
 3 	0.252845
 4 	0.316533
 5 	0.363429
 6 	0.428893
 7 	0.506890
 8 	0.536384
 9 	0.562944
 10 	0.612895
 11 	0.646701
 12 	0.666469
 13 	0.685346
 14 	0.701377
 15 	0.720428
 16 	0.750466
 17 	0.767903
 18 	0.787540
 19 	0.810126
 20 	0.836965
 21 	0.850344
 22 	0.853697
 23 	0.855684
 24 	0.857957
 25 	0.857957
 26 	0.857957
 27 	0.857957
 28 	0.857957
 29 	0.857957
 30 	0.857957
 31 	0.857957
 32 	0.857957
 33 	0.857957
 34 	0.857957
 35 	0.857957
 36 	0.857957
 37 	0.857957
