1  108.0 216.0
2  41.0 197.0
3  35.0 55.0
4  16.0 12.0
5  14.0 10.0
6  13.0 9.0
7  11.0 8.0
8  10.0 8.0
9  6.0 6.0
10  5.0 6.0
11  5.0 6.0
12  4.0 5.0
13  4.0 5.0
14  4.0 5.0
15  4.0 4.0
16  4.0 4.0
17  4.0 4.0
18  3.0 3.0
19  3.0 3.0
20  3.0 3.0
21  3.0 3.0
22  3.0 3.0
23  2.0 3.0
24  2.0 3.0
25  2.0 3.0
26  2.0 3.0
27  2.0 3.0
28  2.0 3.0
29  2.0 3.0
30  2.0 3.0
31  2.0 3.0
32  2.0 3.0
33  2.0 2.0
34  2.0 2.0
35  2.0 2.0
36  2.0 2.0
37  2.0 2.0
38  2.0 2.0
39  2.0 2.0
40  2.0 2.0
41  2.0 2.0
42  2.0 2.0
43  2.0 2.0
44  2.0 2.0
45  2.0 2.0
46  2.0 2.0
47  2.0 2.0
48  1.0 2.0
49  1.0 2.0
50  1.0 2.0
51  1.0 2.0
52  1.0 2.0
53  1.0 2.0
54  1.0 2.0
55  1.0 2.0
56  1.0 2.0
57  1.0 2.0
58  1.0 2.0
59  1.0 2.0
60  1.0 2.0
61  1.0 2.0
62  1.0 2.0
63  1.0 2.0
64  1.0 2.0
65  1.0 2.0
66  1.0 1.0
67  1.0 1.0
68  1.0 1.0
69  1.0 1.0
70  1.0 1.0
71  1.0 1.0
72  1.0 1.0
73  1.0 1.0
74  1.0 1.0
75  1.0 1.0
76  1.0 1.0
77  1.0 1.0
78  1.0 1.0
79  1.0 1.0
80  1.0 1.0
81  1.0 1.0
82  1.0 1.0
83  1.0 1.0
84  1.0 1.0
85  1.0 1.0
86  1.0 1.0
87  1.0 1.0
88  1.0 1.0
89  1.0 1.0
90  1.0 1.0
91  1.0 1.0
92  1.0 1.0
93  1.0 1.0
94  1.0 1.0
95  1.0 1.0
96  1.0 1.0
97  1.0 1.0
98  1.0 1.0
99  1.0 1.0
100  1.0 1.0
101  1.0 1.0
102  1.0 1.0
103  1.0 1.0
104  1.0 1.0
105  1.0 1.0
106  1.0 1.0
107  1.0 1.0
108  1.0 1.0
109  1.0 1.0
110  1.0 1.0
111  1.0 1.0
112  1.0 1.0
113  1.0 1.0
114  1.0 1.0
115  1.0 1.0
116  1.0 1.0
117  1.0 1.0
118  1.0 1.0
119  1.0 1.0
120  1.0 1.0
121  1.0 1.0
122  1.0 1.0
123  1.0 1.0
124  1.0 1.0
125  1.0 1.0
126  1.0 1.0
127  1.0 1.0
128  1.0 1.0
129  1.0 1.0
130  1.0 1.0
131  1.0 1.0
132  1.0 1.0
133  1.0 1.0
134  1.0 1.0
135  1.0 1.0
136  1.0 1.0
137  1.0 1.0
138  1.0 1.0
139  1.0 1.0
140  1.0 1.0
141  1.0 1.0
142  1.0 1.0
143  1.0 1.0
144  1.0 1.0
145  1.0 1.0
146  1.0 1.0
147  1.0 1.0
148  1.0 1.0
149  1.0 1.0
150  1.0 1.0
151  1.0 1.0
152  1.0 1.0
153  1.0 1.0
154  1.0 1.0
155  1.0 1.0
156  1.0 1.0
